filename,accent
cv-valid-train/sample-000005.mp3,us
cv-valid-train/sample-000008.mp3,us
cv-valid-train/sample-000013.mp3,us
cv-valid-train/sample-000014.mp3,england
cv-valid-train/sample-000019.mp3,australia
cv-valid-train/sample-000023.mp3,us
cv-valid-train/sample-000026.mp3,australia
cv-valid-train/sample-000027.mp3,australia
cv-valid-train/sample-000029.mp3,indian
cv-valid-train/sample-000034.mp3,us
cv-valid-train/sample-000044.mp3,england
cv-valid-train/sample-000047.mp3,us
cv-valid-train/sample-000051.mp3,us
cv-valid-train/sample-000053.mp3,england
cv-valid-train/sample-000054.mp3,england
cv-valid-train/sample-000056.mp3,england
cv-valid-train/sample-000059.mp3,us
cv-valid-train/sample-000065.mp3,us
cv-valid-train/sample-000068.mp3,indian
cv-valid-train/sample-000072.mp3,us
cv-valid-train/sample-000073.mp3,us
cv-valid-train/sample-000077.mp3,us
cv-valid-train/sample-000081.mp3,us
cv-valid-train/sample-000082.mp3,us
cv-valid-train/sample-000088.mp3,us
cv-valid-train/sample-000092.mp3,indian
cv-valid-train/sample-000100.mp3,england
cv-valid-train/sample-000106.mp3,malaysia
cv-valid-train/sample-000115.mp3,ireland
cv-valid-train/sample-000118.mp3,us
cv-valid-train/sample-000121.mp3,england
cv-valid-train/sample-000124.mp3,bermuda
cv-valid-train/sample-000132.mp3,us
cv-valid-train/sample-000135.mp3,england
cv-valid-train/sample-000140.mp3,us
cv-valid-train/sample-000146.mp3,us
cv-valid-train/sample-000155.mp3,england
cv-valid-train/sample-000159.mp3,us
cv-valid-train/sample-000168.mp3,us
cv-valid-train/sample-000169.mp3,england
cv-valid-train/sample-000175.mp3,england
cv-valid-train/sample-000180.mp3,scotland
cv-valid-train/sample-000181.mp3,us
cv-valid-train/sample-000184.mp3,us
cv-valid-train/sample-000191.mp3,england
cv-valid-train/sample-000192.mp3,england
cv-valid-train/sample-000194.mp3,us
cv-valid-train/sample-000195.mp3,us
cv-valid-train/sample-000196.mp3,us
cv-valid-train/sample-000201.mp3,canada
cv-valid-train/sample-000202.mp3,us
cv-valid-train/sample-000204.mp3,us
cv-valid-train/sample-000205.mp3,england
cv-valid-train/sample-000210.mp3,us
cv-valid-train/sample-000213.mp3,england
cv-valid-train/sample-000214.mp3,indian
cv-valid-train/sample-000216.mp3,england
cv-valid-train/sample-000217.mp3,us
cv-valid-train/sample-000221.mp3,us
cv-valid-train/sample-000225.mp3,us
cv-valid-train/sample-000229.mp3,us
cv-valid-train/sample-000235.mp3,australia
cv-valid-train/sample-000238.mp3,us
cv-valid-train/sample-000239.mp3,us
cv-valid-train/sample-000242.mp3,indian
cv-valid-train/sample-000243.mp3,us
cv-valid-train/sample-000246.mp3,england
cv-valid-train/sample-000247.mp3,scotland
cv-valid-train/sample-000248.mp3,australia
